From,To,Weight
487,189,1
488,47,1
489,15,1
489,16,1
489,185,1
490,12,1
490,151,1
490,190,1
490,214,1
490,250,1
490,294,1
490,396,1
490,426,1
491,286,1
491,350,1
491,436,1
491,466,1
492,205,1
492,291,1
492,304,1
492,356,2
492,366,1
492,420,1
493,38,1
493,56,1
493,63,1
493,76,1
493,103,1
493,191,1
493,215,1
493,272,1
493,286,1
493,350,1
493,368,1
493,413,1
493,436,1
493,466,1
494,32,1
494,59,1
494,96,1
494,106,1
494,245,1
494,288,1
494,305,1
494,315,1
494,316,1
494,380,1
495,181,1
496,1,1
496,2,1
496,7,1
496,18,1
496,29,1
496,37,1
496,41,1
496,64,2
496,95,1
496,100,1
496,111,1
496,112,1
496,116,1
496,140,1
496,144,1
496,147,1
496,157,1
496,161,1
496,175,1
496,202,1
496,203,1
496,206,2
496,207,1
496,211,1
496,215,3
496,229,1
496,252,1
496,288,1
496,298,1
496,309,1
496,313,1
496,323,1
496,325,1
496,331,1
496,340,1
496,342,1
496,343,1
496,346,1
496,353,1
496,355,2
496,364,1
496,379,1
496,384,1
496,389,1
496,390,1
496,391,1
496,397,1
496,399,1
496,415,1
496,421,1
496,429,1
496,463,1
496,475,1
496,479,2
496,480,1
497,246,1
497,329,1
498,20,1
498,204,1
498,212,1
498,263,1
499,71,1
499,81,1
499,210,1
499,248,1
499,401,1
500,101,1
500,406,1
501,96,1
501,106,1
501,245,1
501,288,1
501,305,1
502,5,1
502,13,1
502,18,1
502,64,1
502,82,5
502,84,1
502,95,2
502,96,1
502,100,1
502,106,1
502,124,1
502,135,1
502,136,2
502,149,1
502,157,1
502,163,1
502,171,1
502,174,2
502,186,1
502,194,1
502,201,1
502,202,3
502,203,1
502,211,1
502,245,1
502,271,1
502,288,2
502,297,1
502,299,2
502,300,1
502,302,1
502,305,1
502,337,1
502,345,1
502,351,1
502,355,5
502,390,1
502,412,2
502,416,2
502,432,1
502,441,1
502,442,4
502,468,1
502,469,1
502,476,1
503,14,1
504,215,1
505,192,1
505,384,1
505,431,1
505,440,1
506,140,1
506,161,1
506,215,3
506,421,1
506,479,1
507,32,1
507,59,1
507,96,1
507,106,1
507,245,1
507,288,1
507,305,1
507,315,1
507,316,1
507,380,1
508,129,1
509,53,1
509,124,1
509,132,1
510,25,1
510,80,1
510,105,1
510,141,1
510,156,1
510,356,1
510,430,1
511,7,1
511,8,1
511,61,1
511,73,1
511,98,1
511,103,1
511,113,1
511,337,1
511,351,1
511,355,2
511,390,1
512,12,1
512,151,1
512,190,1
512,214,1
512,250,1
512,294,1
512,396,1
512,426,1
513,96,1
513,106,1
513,245,1
513,288,1
513,305,1
514,309,1
515,41,1
515,96,1
515,106,1
515,111,1
515,112,1
515,245,1
515,288,1
515,305,1
516,96,2
516,106,1
516,245,2
516,288,1
516,305,1
517,32,1
517,380,1
518,283,1
518,324,1
518,342,1
518,446,1
519,92,1
519,96,1
519,106,1
519,163,2
519,245,1
519,271,1
519,288,1
519,305,1
519,432,2
519,469,2
520,64,1
520,196,1
521,23,1
521,170,1
521,259,1
521,292,1
522,47,1
523,64,1
523,206,1
524,125,1
524,126,1
524,283,1
525,323,1
526,122,1
526,129,1
526,173,1
526,177,1
526,246,2
526,312,1
526,339,1
526,385,1
526,449,1
526,459,1
527,12,1
527,14,1
527,51,1
527,125,1
527,126,1
527,151,1
527,163,1
527,169,1
527,190,1
527,214,1
527,250,1
527,271,1
527,283,1
527,294,1
527,339,1
527,355,1
527,396,1
527,420,1
527,426,1
527,432,1
527,433,1
527,469,2
528,27,1
528,28,1
528,54,1
528,55,1
528,56,1
528,65,1
528,70,1
528,96,1
528,102,1
528,120,2
528,127,1
528,128,1
528,147,1
528,152,1
528,173,1
528,183,1
528,199,1
528,200,1
528,204,1
528,219,1
528,235,1
528,245,1
528,253,1
528,256,1
528,263,1
528,264,1
528,266,1
528,278,1
528,296,1
528,299,1
528,318,1
528,353,1
528,357,1
528,358,1
528,362,1
528,371,1
528,417,1
