,Frequency,Name,Label,Type,Id
0,2,  Empact  - Suicide Prevention Center,Community_org,1,0
1,3, Deli,Community_org,1,1
2,3, and Bakery,Community_org,1,2
3,4,33 Buckets,Community_org,1,3
4,5,A New Leaf,Community_org,1,4
5,3,APS,Community_org,1,5
6,2,ASU Alumni Association - Washington DC Chapter,Community_org,1,6
7,5,ASU Prep South Phoenix Primary/Intermediate School,Community_org,1,7
8,2,ASU Preparatory Academy-Filmore,Community_org,1,8
9,1,AVID Arizona,Community_org,1,9
10,2,AZ Burn Foundation,Community_org,1,10
11,3,AZ Green Chamber of Commerce,Community_org,1,11
12,6,Ability 360,Community_org,1,12
13,5,Achieve60AZ Alliance,Community_org,1,13
14,5,Adidas,Community_org,1,14
15,3,Akron Summit County Public Library,Community_org,1,15
16,3,Alamo Drafthouse Theater,Community_org,1,16
17,1,Alhambra Elementary School District,Community_org,1,17
18,3,Alhambra High School,Community_org,1,18
19,1,Alzheimer's Association Desert Southwest Chapter,Community_org,1,19
20,2,American Cancer Society,Community_org,1,20
21,2,American Immigration Lawyers Association - Arizona Chapter,Community_org,1,21
22,3,American Modeling Teachers Association,Community_org,1,22
23,2,American Public Health Association,Community_org,1,23
24,2,American Red Cross,Community_org,1,24
25,3,American Samoa Environmental Protection Agency Puipui Ma Fa'asao Mo Taeao,Community_org,1,25
26,2,Anti Recidivism Coalition,Community_org,1,26
27,2,Apache Junction Chamber of Commerce,Community_org,1,27
28,2,Apache Junction News,Community_org,1,28
29,3,Apache Junction Public Library,Community_org,1,29
30,5,Arcosanti,Community_org,1,30
31,1,Area Agency on Aging,Community_org,1,31
32,4,Argent Strategies,Community_org,1,32
33,3,Arizona Attorney General's Office,Community_org,1,33
34,3,Arizona Cancer Center,Community_org,1,34
35,3,Arizona Center for Nature Conservation,Community_org,1,35
36,2,Arizona Commission for Postsecondary Education,Community_org,1,36
37,1,Arizona Commission on the Arts,Community_org,1,37
38,2,Arizona Council for History Education,Community_org,1,38
39,1,Arizona Court Of Appeals,Community_org,1,39
40,2,Arizona Department of Child Safety - Apache Junction,Community_org,1,40
41,9,Arizona Department of Child Safety - Central Office,Community_org,1,41
42,2,Arizona Department of Child Safety - Sierra Vista,Community_org,1,42
43,2,Arizona Department of Corrections - Florence,Community_org,1,43
44,2,Arizona Department of Corrections - Maricopa Reentry Center,Community_org,1,44
45,1,Arizona Department of Education,Community_org,1,45
46,5,Arizona Department of Emergency and Military Affairs,Community_org,1,46
47,8,Arizona Department of Health Services,Community_org,1,47
48,1,Arizona Department of Juvenile Corrections,Community_org,1,48
49,2,Arizona Developmental Disabilities Planning Council,Community_org,1,49
50,2,Arizona Diamondbacks,Community_org,1,50
51,1,Arizona Disabled Sports,Community_org,1,51
52,2,Arizona Division of Occupational Safety and Health,Community_org,1,52
53,4,Arizona Forward,Community_org,1,53
54,2,Arizona Game and Fish Department,Community_org,1,54
55,2,Arizona Genealogical Advisory Board,Community_org,1,55
56,5,Arizona Historical Society,Community_org,1,56
57,2,Arizona Justice Project,Community_org,1,57
58,3,Arizona Legal Center,Community_org,1,58
59,4,Arizona Microcredit Initiative,Community_org,1,59
60,1,Arizona Office of the Governor,Community_org,1,60
61,2,Arizona School for the Arts,Community_org,1,61
62,2,Arizona Science Center,Community_org,1,62
63,3,Arizona State Historic Preservation Office,Community_org,1,63
64,14,Arizona State Legislature,Community_org,1,64
65,2,Arizona State Parks and Trails,Community_org,1,65
66,5,Arizona Sustainability Alliance,Community_org,1,66
67,2,Arizona Town Hall,Community_org,1,67
68,2,Arizona Voice for Crime Victims,Community_org,1,68
69,1,Armchair Crisis Design,Community_org,1,69
70,2,Association of Accredited Naturopathic Medical Colleges,Community_org,1,70
71,3,BAMbox Produce,Community_org,1,71
72,2,Bad Craft Studio,Community_org,1,72
73,2,Balsz Elementary School District,Community_org,1,73
74,3,Bank of America Private Bank,Community_org,1,74
75,2,Bank of the West,Community_org,1,75
76,5,Banner Health,Community_org,1,76
77,1,Banner Health - Banner Boswell Skilled Nursing Rehabilitation Center,Community_org,1,77
